asset_id,date,utilization_percentage,active_hours,site_name,assignee_name
ASSET-002,8/10/2025,86.8,20.8,Downtown Project Alpha,Mike Johnson
ASSET-002,8/11/2025,84.5,20.3,Downtown Project Alpha,Mike Johnson
ASSET-002,8/12/2025,87.2,20.9,Downtown Project Alpha,Mike Johnson
ASSET-002,8/15/2025,88.6,21.3,Industrial Park Beta,Mike Johnson
ASSET-002,8/16/2025,85.9,20.6,Industrial Park Beta,Mike Johnson
ASSET-002,8/17/2025,87.4,21,Industrial Park Beta,Mike Johnson
ASSET-002,8/18/2025,84.2,20.2,Industrial Park Beta,Mike Johnson
ASSET-002,8/19/2025,86.1,20.7,Industrial Park Beta,Mike Johnson
ASSET-002,8/22/2025,88.9,21.3,Industrial Park Beta,Mike Johnson
ASSET-002,8/23/2025,85.3,20.5,Industrial Park Beta,Mike Johnson
ASSET-002,8/24/2025,87.7,21,Industrial Park Beta,Mike Johnson
ASSET-002,8/25/2025,84.8,20.4,Industrial Park Beta,Mike Johnson
ASSET-002,8/26/2025,86.4,20.7,Industrial Park Beta,Mike Johnson
ASSET-003,8/1/2025,62.3,15,Highway Expansion Zone,David Lee
ASSET-003,8/2/2025,65.8,15.8,Highway Expansion Zone,David Lee
ASSET-003,8/3/2025,61.5,14.8,Highway Expansion Zone,David Lee
ASSET-003,8/4/2025,64.2,15.4,Highway Expansion Zone,David Lee
ASSET-003,8/5/2025,66.1,15.9,Highway Expansion Zone,David Lee
ASSET-003,8/8/2025,62.9,15.1,Highway Expansion Zone,David Lee
ASSET-003,8/9/2025,67.3,16.2,Highway Expansion Zone,David Lee
ASSET-003,8/10/2025,64.7,15.5,Highway Expansion Zone,David Lee
ASSET-003,8/11/2025,61.8,14.8,Highway Expansion Zone,David Lee
ASSET-003,8/12/2025,65.4,15.7,Highway Expansion Zone,David Lee
